,City,Venue Category,Venue,Venue Latitude,Venue Longitude
72,Agoura Hills,Department Store,T.J. Maxx,34.1554904,-118.7921579
73,Agoura Hills,Rock Club,Canyon Club,34.144032614101285,-118.75508537782862
74,Agoura Hills,Hotel,Homewood Suites by Hilton,34.14625424404817,-118.75561147928238
75,Agoura Hills,Shipping Store,FedEx Office Print & Ship Center,34.1446696,-118.7559056
76,Agoura Hills,Ice Cream Shop,Baskin-Robbins,34.15384409800459,-118.75761452292393
77,Agoura Hills,Seafood Restaurant,Q Sushi,34.147267,-118.795424
78,Agoura Hills,Bank,Chase Bank,34.153876,-118.757583
79,Agoura Hills,Pharmacy,Rite Aid,34.155925,-118.757924
80,Agoura Hills,Chinese Restaurant,Hot Wok,34.143515375351335,-118.75117346926451
81,Agoura Hills,Furniture / Home Store,Ethan Allen,34.14501884,-118.74835511
82,Agoura Hills,Electronics Store,Power Of Home,34.14462578333333,-118.747111
83,Agoura Hills,Furniture / Home Store,The Mattress Store,34.14551108008712,-118.7468201402775
84,Agoura Hills,Furniture / Home Store,Alpert's Kidz Furniture,34.144284,-118.746552
85,Agoura Hills,Trail,Ladyface Trailhead,34.13299309560486,-118.75752882148409
86,Agoura Hills,Miscellaneous Shop,Agoura Feed,34.141601,-118.743646
87,Agoura Hills,Furniture / Home Store,La Z Boy Furniture,34.143994,-118.7414
88,Agoura Hills,Optical Shop,Agoura Optometric Center - Dr. Rishko & Sam,34.14052963256836,-118.7418441772461
89,Agoura Hills,Kitchen Supply Store,TNL Kitchen Shop,34.172203,-118.762399
90,Alhambra,Pizza Place,Blaze Pizza,34.09542,-118.125894
91,Alhambra,Grocery Store,Sprouts Farmers Market,34.095288,-118.1250456
92,Alhambra,Food,Borneo Kalimantan Cuisine,34.09481788466128,-118.12665890469869
93,Alhambra,Burger Joint,Grill 'Em All,34.095595494314125,-118.12672491095267
94,Alhambra,Bakery,85C Bakery Cafe,34.093411,-118.130214
95,Alhambra,Hot Dog Joint,Dog Haus Biergarten,34.09693421555505,-118.12263965952457
96,Alhambra,Wine Bar,Vino At Trio's,34.095144125279,-118.12809781844852
97,Alhambra,Art Gallery,Gallery Nucleus,34.09598847009032,-118.12433045356221
98,Alhambra,Park,Story Park,34.09966957376653,-118.12556895113578
99,Alhambra,Farmers Market,Alhambra Farmers Market,34.09338228581925,-118.1284490554344
100,Alhambra,Burger Joint,The Habit Burger Grill,34.09547,-118.125738
101,Alhambra,Bookstore,The Comic Cellar,34.094463338497256,-118.12875599312858
102,Alhambra,Lounge,Havana House Cigars & Lounge,34.094433738587654,-118.12874217367957
103,Alhambra,Bakery,JJ2 Bakery / Cafe,34.095478215744386,-118.12561417155952
104,Alhambra,Fast Food Restaurant,Arby's,34.0975333148145,-118.122502034548
105,Alhambra,Café,7 Leaves Cafe,34.096596933162324,-118.12813803368847
106,Alhambra,Fast Food Restaurant,In-N-Out Burger,34.106210941255355,-118.13446506270925
107,Alhambra,Ice Cream Shop,Fosselman's Ice Cream Co.,34.091407317142156,-118.14390414746754
108,Alhambra,Sandwich Place,The Hat,34.07866657962181,-118.12315991980824
109,Alhambra,Park,Almansor Park,34.08714233522183,-118.11508245569154
110,Alhambra,Vietnamese Restaurant,Golden Deli Vietnamese Restaurant,34.102792400002144,-118.1117266923932
111,Alhambra,Market,99 Ranch Market,34.097808286009034,-118.12353607543359
112,Alhambra,Café,Bon Appétea,34.09390514156047,-118.12883201811508
113,Alhambra,Japanese Restaurant,Yama Seafood,34.10207055010832,-118.11264493061012
114,Alhambra,Insurance Office,AAA - Automobile Club of Southern California,34.09853194,-118.12305914
115,Alhambra,Chinese Restaurant,Savoy Kitchen,34.07849714574106,-118.12094973723971
116,Alhambra,Mexican Restaurant,Pepe's Mexican Food,34.07852553536646,-118.12846536434768
117,Alhambra,Vietnamese Restaurant,Banh Mi My Tho,34.07806172611116,-118.12580352585887
118,Alhambra,Auto Dealership,New Century BMW,34.092113916073764,-118.13501557535278
119,Alhambra,Video Game Store,GameStop,34.097207917053325,-118.12303071219549
120,Alhambra,Church,Mission San Gabriel Arcángel,34.097230974330785,-118.10684711548376
121,Alhambra,Café,Bopomofo Cafe,34.102319834573564,-118.11184564869303
122,Alhambra,American Restaurant,Almansor Court,34.089617002467435,-118.11602540883085
123,Alhambra,Park,Alhambra Park,34.09737926191698,-118.14689825705209
124,Alhambra,Szechuan Restaurant,Chengdu Taste,34.0779432701684,-118.13246073642755
125,Alhambra,Sandwich Place,Pulciano's Deli & Cafe,34.097535643815434,-118.10880062235512
126,Alhambra,Asian Restaurant,Bonchon - San Gabriel,34.101868390336065,-118.1104068551908
127,Alhambra,Golf Course,Alhambra Golf Course,34.09105420739418,-118.11655139422307
128,Alhambra,Grocery Store,Smart & Final Extra!,34.099206119381634,-118.11957823589582
129,Alhambra,Chinese Restaurant,Newport Tan Cang Seafood Restaurant,34.102310101475325,-118.10697528194818
130,Alhambra,Liquor Store,Simply The Best,34.0986474297818,-118.13458054765111
131,Alhambra,Chinese Restaurant,King Hua Restaurant,34.09118531414509,-118.14532708798558
132,Alhambra,Convenience Store,Ocean Liquor,34.10419041939816,-118.13871453255288
133,Alhambra,Pet Store,PetSmart,34.086221,-118.151574
134,Alhambra,Chinese Restaurant,Sam Woo Barbeque,34.078146124269054,-118.12865319520311
135,Alhambra,Chinese Restaurant,Yunnan Garden,34.10263502982855,-118.10807367583239
136,Alhambra,Tea Room,Ten Ren's Tea Time,34.09909963091318,-118.11995980098509
137,Alhambra,Café,Julienne,34.116158762220614,-118.13726715101286
138,Alhambra,Cajun / Creole Restaurant,Ritter's Steam Kettle Cooking,34.077214357068534,-118.14357649881224
139,Alhambra,Italian Restaurant,Angelo's Italian Restaurant & Pizzeria,34.07734133,-118.13986517
140,Alhambra,Chinese Restaurant,101 Noodle Express,34.07889482641286,-118.10953144914224
141,Alhambra,Performing Arts Venue,San Gabriel Mission Playhouse,34.098170419465724,-118.10859429563546
142,Alhambra,Hotel,Langham Huntington Hotel,34.12031744029123,-118.13350349239846
143,Alhambra,Convenience Store,7-Eleven,34.1048089950798,-118.13422948122
144,Alhambra,Taiwanese Restaurant,Huge Tree Pastry,34.0676342024609,-118.13489665934705
145,Alhambra,Burger Joint,Just Grillin',34.08090789059548,-118.15214998193706
146,Alhambra,Chinese Restaurant,Da Qing Hua,34.1018000330168,-118.10970188412978
147,Alhambra,Bank,Chase Bank,34.0918654,-118.1452896
148,Alhambra,Vegetarian / Vegan Restaurant,Vege Paradise,34.07862338900046,-118.10178979383015
149,Alhambra,Thai Restaurant,Thai Paradise,34.10211078152753,-118.1125187336942
150,Alhambra,Historic Site,San Gabriel Mission District,34.09810301726857,-118.10861880363825
151,Alhambra,Dumpling Restaurant,Hui Tou Xiang Noodles House,34.10204671584131,-118.10994321972443
152,Alhambra,Noodle House,Pho Super Bowl,34.10124524477968,-118.11333432423717
153,Alhambra,Bubble Tea Shop,Chicha San Chen 吃茶三千,34.079868,-118.104216
154,Alhambra,Szechuan Restaurant,Miàn | 滋味小麵,34.07991047553369,-118.10413647875936
155,Alhambra,Restaurant,Golden Leaf,34.102769689732106,-118.11058963589812
156,Alhambra,Coffee Shop,Starbucks,34.10420805,-118.1529915
157,Alhambra,Mexican Restaurant,Fruteria Huerta,34.07608777451843,-118.14242759600198
158,Alhambra,Bakery,Panera Bread,34.0876516,-118.1485163
159,Alhambra,Chinese Restaurant,Nature Pagoda Restaurant,34.079432804428585,-118.1042863428697
160,Alhambra,Auto Dealership,New Century BMW Motorcycles,34.095693463149885,-118.15672827976226
161,Alhambra,Burger Joint,Pharos Burgers,34.1051393574755,-118.13451769093692
162,Alhambra,Park,Garfield Park,34.116743294956024,-118.14671516418457
163,Alhambra,American Restaurant,Twohey's Restaurant,34.10660072091036,-118.1344896911184
164,Alhambra,Fast Food Restaurant,Wendy’s,34.079501428177444,-118.11112475465052
165,Alhambra,Vietnamese Restaurant,Ba Le Sandwich Shop,34.077171817060616,-118.13371007554663
166,Alhambra,Taco Place,Baja Cali Fish & Tacos,34.077488676579236,-118.14562530771711
167,Alhambra,Park,Lacy Park,34.12027014160729,-118.12110012379726
168,Alhambra,Italian Restaurant,Vittoria Pizza,34.07629387676739,-118.15261759992407
169,Alhambra,Chinese Restaurant,Boiling Point,34.07940537603342,-118.10322703207552
170,Alhambra,Noodle House,Noodle World San Marino,34.112151359012636,-118.12587940682512
171,Alhambra,Chinese Restaurant,Phoenix Food Boutique,34.06785599388403,-118.13409417518834
172,Alhambra,Gym / Fitness Center,YMCA of South Pasadena & San Marino,34.107715819228176,-118.13668802669905
173,Alhambra,Supermarket,Ralphs,34.1051923,-118.1349094
174,Alhambra,Italian Restaurant,Charlie's Trio,34.09841371873276,-118.15550749398608
175,Alhambra,Sushi Restaurant,Z Sushi,34.1057257618685,-118.13446429447322
176,Alhambra,Mexican Restaurant,Spanglish Kitchen,34.09842885076056,-118.13459010634155
177,Alhambra,Vietnamese Restaurant,Vietnam Restaurant,34.10234775297692,-118.10410069162072
178,Alhambra,Convenience Store,Daiso Japan,34.06845835369181,-118.1337682775436
179,Alhambra,Hotpot Restaurant,Hip Hot,34.0686347677262,-118.13413116862888
180,Alhambra,Supermarket,Mitsuwa Marketplace,34.10263608779655,-118.10689680365765
181,Alhambra,Chinese Restaurant,Omar's Xinjiang Halal Restaurant,34.07748169473648,-118.10815694663847
182,Alhambra,Health Food Store,Grassroots Natural Market & Kitchen,34.113389140690764,-118.15143759243888
183,Alhambra,Chinese Restaurant,Jazz Cat,34.08008801355415,-118.09885793003566
184,Alhambra,Hotel,Sheraton Los Angeles San Gabriel,34.080164470073136,-118.09687972068787
185,Alhambra,Liquor Store,Super Store,34.098634375593285,-118.13444439949824
186,Alhambra,Chinese Restaurant,Phoenix Food Boutique,34.102226794785594,-118.11014490469299
187,Alhambra,Café,Factory Tea Bar,34.09769908060049,-118.10896324204492
188,Alhambra,Mexican Restaurant,Casa Calderon,34.102012917878035,-118.1093288144277
189,Alhambra,Park,Vincent Lugo Park,34.08464773369197,-118.1048696617191
190,Arcadia,Sporting Goods Shop,REI,34.142576,-118.031048
191,Arcadia,Sandwich Place,Claro's Italian Market,34.140282393722295,-118.03050054166496
192,Arcadia,Racetrack,Santa Anita Park,34.14075780032176,-118.04485559463501
193,Arcadia,Racetrack,Santa Anita Clubhouse,34.13864912389718,-118.0438548423175
194,Arcadia,Dumpling Restaurant,Din Tai Fung,34.13509295122126,-118.05167794973755
195,Arcadia,Department Store,Nordstrom,34.1353439,-118.0524237
196,Arcadia,Garden,Los Angeles County Arboretum and Botanic Garden,34.14397450692793,-118.05131562998882
197,Arcadia,Night Market,626 Night Market,34.13747300646296,-118.04530128784603
198,Arcadia,Dessert Shop,Uncle Tetsu Japanese Cheesecake,34.13495422176463,-118.05207008484189
199,Arcadia,Fast Food Restaurant,In-N-Out Burger,34.14519815654349,-118.03133881112133
200,Arcadia,Park,Arcadia County Park,34.13855557068179,-118.03414821624756
201,Arcadia,Stables,The Stables at Santa Anita Park,34.13803032331882,-118.04791972433321
202,Arcadia,BBQ Joint,Wood Ranch BBQ & Grill,34.13479477360242,-118.04879828001988
203,Arcadia,Brewery,Mt. Lowe Brewery,34.14326912450857,-118.02641247729441
204,Arcadia,Smoke Shop,Robusto Cigars,34.140893,-118.02813300000001
205,Arcadia,Bakery,Paris Baguette,34.135091363545435,-118.04918936822058
206,Arcadia,Sushi Restaurant,Maki & Sushi Arcadia,34.13986231934596,-118.02387103809137
207,Arcadia,American Restaurant,The Cheesecake Factory,34.134844133831805,-118.04906282654066
208,Arcadia,Mexican Restaurant,Chipotle Mexican Grill,34.13572656223666,-118.04973664929628
209,Arcadia,Bookstore,The Book Rack,34.13771585084922,-118.02812669917815
210,Arcadia,Bakery,Lady M Cake Boutique,34.13508100392939,-118.0514646720059
211,Arcadia,Fast Food Restaurant,Chick-fil-A,34.1357899,-118.0498968
212,Arcadia,Sculpture Garden,Waterfall,34.140627022735494,-118.05685921732425
213,Arcadia,Mexican Restaurant,Taco Lita,34.13000287927428,-118.02706421541293
214,Arcadia,Nature Preserve,Tropical Greenhouse,34.145973,-118.051916
215,Arcadia,Gift Shop,Hallmark,34.1341668669088,-118.05155245045819
216,Arcadia,Shopping Mall,Westfield Santa Anita,34.13492962262267,-118.05136708260248
217,Arcadia,Discount Store,99 Cents Only Stores,34.129894,-118.026364
218,Arcadia,Dumpling Restaurant,Dumpling House,34.12944851412801,-118.05487238684258
219,Arcadia,Chinese Restaurant,Phoenix Food Boutique,34.127172784060704,-118.05443936266109
220,Arcadia,Golf Course,Santa Anita Golf Course,34.13550501844585,-118.03209417207968
221,Arcadia,Chinese Restaurant,Hai Di Lao Hot Pot,34.133598920881276,-118.05275282857842
222,Arcadia,Restaurant,Red Robin Gourmet Burgers and Brews,34.13322023,-118.0526028
223,Arcadia,Bakery,85°C Bakery Cafe,34.129661,-118.028648
224,Arcadia,Tea Room,Half & Half Tea Express 伴伴堂,34.12296671467954,-118.05592872914566
225,Arcadia,Szechuan Restaurant,Meizhou Dongpo Restaurant (Dongpo Restaurant),34.133701,-118.053163
226,Arcadia,Fast Food Restaurant,Chick-fil-A,34.1228292,-118.050258
227,Arcadia,American Restaurant,BJ's Restaurant & Brewhouse,34.13977194162046,-118.02243186917202
228,Arcadia,Bakery,Kee Wah Bakery,34.12848780826431,-118.05453903151586
229,Arcadia,Breakfast Spot,Yi Mei,34.131534317028496,-118.0195247062045
230,Arcadia,Coffee Shop,Starbucks,34.139905885985904,-118.0239993347882
231,Arcadia,Department Store,Daiso Japan,34.125435274661115,-118.05613814423558
232,Arcadia,Thai Restaurant,Srisiam Thai Kitchen,34.15067206120172,-118.02815723446734
233,Arcadia,Sushi Restaurant,Oto-Oto Izakaya Japonaise,34.140835715556406,-118.01920988053756
234,Arcadia,Pizza Place,Zelo Pizzeria,34.15096010379389,-118.02172364145066
235,Arcadia,American Restaurant,The Derby,34.140450646140096,-118.02379639758497
236,Arcadia,Pizza Place,"Pieology Pizzeria Monrovia, CA",34.140416,-118.019066
237,Arcadia,Bakery,J J Bakery,34.126880451424746,-118.05441705238965
238,Arcadia,Grocery Store,ALDI,34.1234503,-118.056253
239,Arcadia,Hotpot Restaurant,Mokkoji Shabu Shabu Bar,34.12415801335971,-118.05809510143621
240,Arcadia,Bagel Shop,Goldstein's Bagel Bakery Arcadia,34.14487075215323,-118.03127409677653
241,Arcadia,Grocery Store,Trader Joe's,34.13797302653722,-118.01215311135387
242,Arcadia,Grocery Store,H Mart,34.1316019290268,-118.0658844388728
243,Arcadia,Bakery,Panera Bread,34.1399198,-118.0121028
244,Arcadia,Pet Store,PetSmart,34.141425,-118.015638
245,Arcadia,Japanese Restaurant,Tokyo Wako,34.14052108090325,-118.02190047026531
246,Arcadia,Bakery,Tous Les Jours,34.13153909631147,-118.06591567630531
247,Arcadia,Pizza Place,Blaze Pizza,34.12416418568077,-118.05829882621765
248,Arcadia,Smoothie Shop,Robeks Fresh Juices & Smoothies,34.140934,-118.0197
249,Arcadia,Sandwich Place,Jersey Mike's Subs,34.139531,-118.008346
250,Arcadia,Breakfast Spot,Nano Cafe,34.13238826665653,-118.00885664295626
251,Arcadia,American Restaurant,Moffett's Chicken Pie Shoppe,34.12300030994481,-118.05613462620843
252,Arcadia,Tea Room,The Loose Teas - Cafe And Gifts,34.13948791901316,-118.01332915985367
253,Arcadia,Furniture / Home Store,Bed Bath & Beyond,34.1385263,-118.0135253
254,Arcadia,Mexican Restaurant,Chipotle Mexican Grill,34.13980863005088,-118.01247076711644
255,Arcadia,Grocery Store,Sprouts Farmers Market,34.13967889256877,-118.0078437924385
256,Arcadia,Noodle House,Ramen Yukinoya,34.12303497028853,-118.05586528447347
257,Arcadia,Supermarket,Vons,34.125034,-118.0577682
258,Arcadia,Insurance Office,AAA - Automobile Club of Southern California,34.139599726406736,-118.02259489408236
259,Arcadia,Chinese Restaurant,Panda Express Innovation Kitchen,34.15102916072253,-118.06839920305205
260,Arcadia,Chinese Restaurant,China Red,34.129972376642144,-118.054916392557
261,Arcadia,Supermarket,Ralphs,34.151739231822,-118.02465856075287
262,Arcadia,Ice Cream Shop,Mother Moo Creamery,34.16213865170983,-118.05320596335784
263,Arcadia,Hotel,DoubleTree by Hilton,34.139348,-118.018835
264,Arcadia,Thai Restaurant,President Thai Restaurant,34.13788879193001,-118.07302990527599
265,Arcadia,Burger Joint,The Original Tops,34.14695805256819,-118.06928810336476
266,Arcadia,Coffee Shop,Starbucks,34.12487395,-118.05689
267,Arcadia,Mexican Restaurant,Paco's Mexican Restaurant,34.15084401174102,-118.02510854487126
268,Arcadia,American Restaurant,Only Place In Town Cafe,34.16172504166687,-118.0550953323965
269,Arcadia,Indian Restaurant,Bhanu's Indian Grocery & Cuisine,34.12899811375814,-118.07253327029836
270,Arcadia,Dessert Shop,Fluff Ice,34.139608989119395,-118.00722934938229
271,Arcadia,Coffee Shop,Bean Town Coffee House & Bakery,34.16280788085659,-118.05281604056185
272,Arcadia,Hotel,Courtyard by Marriott Los Angeles Pasadena/Monrovia,34.1397149,-118.0148577
273,Arcadia,Mexican Restaurant,Los Gueros Mexican Restaurant,34.14055774615901,-118.00587745224689
274,Arcadia,Bakery,Copenhagen Pastry,34.1464120464537,-118.07224068205336
275,Arcadia,Diner,Le Roy's Highland Restaurant,34.14049201135225,-118.01082075163974
276,Arcadia,Liquor Store,The Bottle Shop,34.16179886620827,-118.05393952762769
277,Arcadia,Pizza Place,Alex DiPeppe's,34.10756652634405,-118.03618219423633
278,Arcadia,Pet Store,Unleashed by Petco,34.13813378064883,-118.01247556491379
279,Arcadia,Garden,Armstrong Garden Centers,34.140642,-118.013803
280,Arcadia,Café,Dots Cafe,34.14686341160588,-118.06995559259438
281,Arcadia,Coffee Shop,Starbucks,34.16245734,-118.052916
282,Arcadia,Chinese Restaurant,Yang Chow Restaurant,34.14648755075131,-118.07087963724516
283,Arcadia,Seafood Restaurant,Rubio's Coastal Grill,34.139321,-118.013296
284,Arcadia,Sushi Restaurant,Kiku Sushi,34.13947492134859,-118.01346401527012
285,Arcadia,Coffee Shop,Starbucks,34.15083951578705,-118.01820788941957
286,Arcadia,Steakhouse,Clearman's North Woods Inn,34.129021534799115,-118.07337866082489
287,Arcadia,Italian Restaurant,Nikki C's,34.138377792728264,-118.0729736350632
288,Arcadia,Grocery Store,Grocery Outlet,34.1295554,-118.0725755
289,Arcadia,Mexican Restaurant,Habanero Mexican Grill,34.1279255573544,-118.07293644494517
290,Artesia,Indian Restaurant,Paradise Biryani Pointe,33.86596481590643,-118.08148899437464
291,Artesia,Korean Restaurant,Belly Bombz Kitchen,33.87265924010517,-118.08131827420162
292,Artesia,Indian Restaurant,The India Restaurant,33.86871211397459,-118.08197171579405
293,Artesia,Indian Restaurant,Surati Farsan,33.862841841375,-118.08179594077913
294,Artesia,Gun Range,Insight Shooting Range,33.875772756506095,-118.08509233401846
295,Artesia,Coffee Shop,7 Leaves Cafe,33.87293186624537,-118.07276141201397
296,Artesia,Frozen Yogurt Shop,Yogurtland,33.86591,-118.081955
297,Artesia,Skating Rink,East West Ice Palace,33.872743544980814,-118.08927469112092
298,Artesia,Ice Cream Shop,Bruster's Real Ice Cream,33.87294635643666,-118.07095073144193
299,Artesia,Indian Restaurant,Rajdhani Indian Restaurant,33.86328991519408,-118.08243622090853
300,Artesia,Café,Cafe Maji,33.87279647997302,-118.07131977850077
301,Artesia,Thai Restaurant,Original Thai BBQ,33.866592,-118.09296
302,Artesia,Grocery Store,Sprouts Farmers Market,33.8574491576106,-118.0785817248535
303,Artesia,Sandwich Place,Lee's Sandwiches,33.86756547201534,-118.08269374031288
304,Artesia,Café,Bakers & Baristas,33.857164,-118.084235
305,Artesia,Sandwich Place,TJ's Submarines,33.872674791498675,-118.08148314736913
306,Artesia,Indian Restaurant,Udupi Palace,33.86180560593925,-118.08224171317221
307,Artesia,Cosmetics Shop,Bath & Body Works,33.861551437690586,-118.09322737870119
308,Artesia,Burger Joint,The Habit Burger Grill,33.865937,-118.093511
309,Artesia,Ice Cream Shop,Creamistry,33.85805604667514,-118.08938106194718
310,Artesia,Fast Food Restaurant,Chick-fil-A,33.8622397,-118.0914903
311,Artesia,Seafood Restaurant,California Fish Grill,33.85933574935507,-118.0904483045325
312,Artesia,Pizza Place,Blaze Pizza,33.866138,-118.093517
313,Artesia,Chinese Restaurant,Formosan Restaurant,33.85998674705216,-118.07136779548367
314,Artesia,Dessert Shop,Frostbites,33.85788034668991,-118.09283763215885
315,Artesia,Bakery,85C Bakery Cafe,33.857298,-118.088661
316,Artesia,Lingerie Store,Victoria's Secret PINK,33.86162886734387,-118.09300593850323
317,Artesia,Café,Solid Coffee Roasters,33.85913863138609,-118.07325553182861
318,Artesia,Bakery,Rainbow Donuts,33.85874629706714,-118.08114571045374
319,Artesia,Juice Bar,Jamba Juice,33.85882,-118.090027
320,Artesia,Filipino Restaurant,Crispy House,33.873521510279026,-118.08034160672352
321,Artesia,Hotpot Restaurant,Broth Shabu-Shabu,33.86722667623787,-118.09428881947858
322,Artesia,Bakery,Paris Baguette,33.86134659674635,-118.09304177211952
323,Artesia,Movie Theater,Harkins Cerritos 16,33.86156332291225,-118.09493473156526
324,Artesia,Vietnamese Restaurant,Pho Tasty,33.856910107055086,-118.08237033668944
325,Artesia,Grocery Store,Trader Joe's,33.869113395796305,-118.05813131088638
